feature,importance_mean,importance_std
validation_gap_count,0.2483715299274111,0.009750887184446326
prior_failures_90d,0.16996453910527617,0.03055501228349204
release_pressure_score,0.10205044689194902,0.009579685328816222
log1p_modules_touched,0.09859985891497124,0.01963863426596745
critical_files_touched,0.04216582781416952,0.007626356493026427
coverage_delta_pct,0.026557998762676744,0.004474234004802556
log1p_files_changed,0.018468015351837213,0.004155145694364908
defects_per_module,0.014423967966501269,0.004486393216646362
log1p_open_defects_linked,0.013847013837841723,0.0038538083962001966
branch_type_development,0.009276541348428943,0.0030989935953199873
reviewer_count,0.004320529493796503,0.0006322371147236815
log1p_change_density_lines_per_file,0.0034930714986410503,0.0014724697001242393
is_high_pressure,0.003237067647695213,0.0011622195305246365
change_type_feature,0.00310429645358525,0.0015072334598458018
branch_type_hotfix,0.002209034388883239,0.0004325001468378276
log1p_tests_impacted_count,0.002167741871698344,0.0013345079275738987
component_area_functional_area_a,0.0020154655570688296,0.00040512986719568885
branch_type_release_candidate,0.001950703104070528,0.0005855559241173282
log1p_tests_per_file_changed,0.0016142959454879164,0.0006589687435751934
change_type_dependency,0.0015278404897603644,0.0007316944484571978
change_type_test,0.0015093013088253726,0.0006097696937079968
environment_profile_profile_standard,0.001363195165675087,0.0009450012703797761
log1p_lines_added,0.0010484081172228248,0.0009644485434287024
synthetic_component_grouped_CMP_010,0.0010421107736217812,0.0002352117492093274
change_type_refactor,0.0008559964385707978,0.0002835515190027956
log1p_pipeline_duration_min,0.0008401302222162214,0.001081768273517265
author_experience_months_was_missing,0.0007358348852655369,0.0010325503814356358
change_type_bugfix,0.0006803707996875611,0.000326236320458795
component_area_functional_area_b,0.0006241533323897245,0.0006559420171984609
is_large_change,0.0005994462496163681,0.00022746218534113415
environment_profile_profile_extended,0.0004900850971145121,0.00036614309513357114
synthetic_component_grouped_CMP_003,0.0004753992985786863,0.00019951414221111317
component_area_functional_area_f,0.0004206172021451275,0.00042859744908493234
component_area_functional_area_d,0.0003793408067836827,0.0003429678327416797
log1p_lines_deleted,0.00036407529140305056,0.00014672887900903312
environment_profile_profile_dependency,0.00036388835990338225,0.00038348698376398916
component_area_functional_area_c,0.00032137130961299815,0.0006003697066939793
week,0.0003164989809457304,0.0004980445971857038
validation_level_basic_checks,0.0002942789834405879,0.00010575274728879738
net_lines_changed,0.0002602769633085848,0.0002600792704379082
validation_level_readiness_review,0.00022737994932022407,0.00037735994205780434
component_area_functional_area_e,0.00020673513643323002,0.0001622459084144438
change_type_configuration,0.00019864647256923051,0.00023934085404996548
environment_profile_profile_distributed,0.00016593691035798885,0.00011338964357275459
historical_failure_rate,0.00016365438244231312,8.289421062979081e-05
is_negative_coverage_delta,0.00015260919306751367,0.00016459872242464288
synthetic_component_grouped_CMP_014,0.00011018681678520714,3.747035235011286e-05
synthetic_component_grouped_CMP_011,8.309028238926801e-05,4.788791475487792e-05
synthetic_component_grouped_CMP_002,7.115519579250125e-05,7.285096939752077e-05
synthetic_component_grouped_CMP_018,9.549029048298388e-06,2.1352278071115316e-05
synthetic_component_grouped_CMP_015,2.1520914977868344e-06,3.141992474782895e-05
validation_level_integrated_checks,2.9766225817517977e-07,0.0001290371927040127
synthetic_component_grouped_CMP_006,-2.8620092265285724e-05,0.00016793703203548665
synthetic_component_grouped_CMP_012,-4.430686587960272e-05,7.431857454758921e-05
synthetic_component_grouped_other_component,-5.379711542663479e-05,0.00041479811477247003
synthetic_component_grouped_CMP_016,-5.7354971303158475e-05,9.212483678717544e-05
validation_gap_ratio,-8.151958256043719e-05,0.00045309853648134126
validation_level_component_checks,-9.277486353148623e-05,0.0002468974059570979
author_experience_months,-0.0003597018049146065,0.0002532806373337286
validation_level_broad_regression_checks,-0.0005750621381691023,0.0005187019949055338
